mdb_id,onestop_id,method
mdb-818,f-stark~area~regional~transit~authority,url
mdb-819,f-sarnia~on~ca,name_0.85
mdb-823,f-trailways~adp~ny,url
mdb-824,f-trailways~nyp~ny,url
mdb-825,f-adirondack~trailways~nyt,url
mdb-833,f-wheatlandferry~or~us,url
mdb-834,f-buenavistaferry~or~us,url
mdb-838,f-c28-jeffersontransitauthority,url
mdb-839,f-santa~fe~trails,url
mdb-850,f-steuben~area~rides,url
mdb-851,f-steuben~county~ny,url
mdb-870,f-village~of~cooperstown~trolley,url
mdb-871,f-watertown~citibus,url
mdb-875,f-yates~transit~service,url
mdb-876,f-djjg-lakecounty,url
mdb-883,f-c20c-sctd~or~us,url
mdb-885,f-9vff-fortworthtransportationauthority,url
mdb-886,f-9qc-sanjoaquinrtd,url
mdb-897,f-9xj-rtd,name_0.82
mdb-902,f-grtc~va,url
mdb-905,f-huntington~area~rapid~transit,url
mdb-908,f-portage~area~regional~transportation~authority,url
mdb-910,f-leprechaun~connection,url
mdb-911,f-clarkstown~mini~trans,url
mdb-915,f-lower~hudson~transit~link,url
mdb-916,f-clbt~nassau~ny~us,url
mdb-917,f-green~bay~wi~us,url
mdb-919,f-city~of~lompoc~transit,url
mdb-922,f-western~reserve~transit~authority,url
mdb-923,f-cyride,url
mdb-926,f-dpsk-masstransportationauthorityflint,url
mdb-927,f-sullivan~county,url
mdb-928,f-putnam~area~rapid~transit,url
mdb-931,f-harneycounty,url
mdb-932,f-lcog~linklane,url
mdb-933,f-mtbachelor~or~us,url
mdb-994,f-9q5c-cityofcommercemunicipalbuslines,url
mdb-1053,f-loudouncounty~va~us,url
mdb-1060,f-sportran,url
mdb-1067,f-9qcs-rosevilletransit,url
mdb-1087,f-bacacounty~co~us,url
mdb-1109,f-rioc~nyc,url
mdb-1110,f-dq0d-wavetransit,url
mdb-1121,f-dnkk-knoxvilleareatransit,url
mdb-1126,f-brightline~trails,url
mdb-1133,f-9q9-acealtamontcorridorexpress,name_1.00
mdb-1141,f-dolorescounty~co~us,url
mdb-1143,f-djn1-fl~iridetrolley,url
mdb-1145,f-9qb-sonomacounty~ca~us,name_0.84
mdb-1187,f-dp3-metra,name_1.00
mdb-1189,f-dnwg-blacksburgtransit,url
mdb-1195,f-broomfield~co~us,url
mdb-1198,f-9q5b-longbeachtransit,url
mdb-1210,f-9q5-ladot,url
mdb-1211,f-9q9-scmtdcom,url
mdb-1213,f-9xh-cme~co~us,url
mdb-1234,f-river~valley~transit~authority,name_0.81
mdb-1240,f-atomic~city~transit,url
mdb-1241,f-9v1z-viametropolitantransit,name_0.83
mdb-1242,f-9v1z-viametropolitantransit,name_0.89
mdb-1244,f-9q9-actransit,name_0.85
mdb-1246,f-9q4g-santabarbaramtd,url
mdb-1254,f-astoria~riverfront~trolley,url
mdb-1284,f-shuttle~oregon,url
